Crash ID,Degree of crash - detailed,Reporting year,Year of crash,Month of crash,Day of week of crash,Two-hour intervals,Street of crash,Street type,Town,Route no.,School zone location,School zone active,Type of location,Latitude,Longitude,LGA,Urbanisation,Conurbation 1,Alignment,Street lighting,Road surface,Surface condition,Weather,Natural lighting,Signals operation,Other traffic control,Speed limit,Road classification,RUM - code,DCA - code,First impact type,Key TU type,Other TU type,No. of traffic units involved,No. killed,No. seriously injured,No. moderately injured,No. minor-other injured
1246693,3,2020,2020,9,5,6,36,31,35,34609,0,1,10,-34.36591,150.910761,80,0,2,1,3,0,0,0,2,0,0,60,0,301,301,4,5,0,2,0,0,0,0
1246694,3,2020,2020,9,3,3,85,31,66,34609,0,1,10,-34.48724,150.898951,80,0,2,1,3,0,0,0,1,2,7,60,0,4026,4026,8,30,40,1,0,0,0,0
1246695,3,2020,2020,9,6,4,330,23,35,39,1,0,9,-33.963484,151.2459,59,0,2,1,3,0,0,0,2,0,15,60,1,6545,6545,4,0,0,3,0,0,0,0
1246700,3,2020,2020,9,4,3,308,14,83,311,0,1,3,-33.876985,150.843138,41,0,2,1,3,0,0,0,2,0,7,100,2,1383,1383,1,8,0,2,0,0,0,0
1246701,3,2020,2020,9,0,11,27,17,43,34609,0,1,1,-30.462461,153.004846,6,2,1,1,3,0,0,0,0,0,7,50,0,9859,9859,8,5,40,1,0,0,0,0
1246703,3,2020,2020,9,2,3,21,36,7,34609,0,1,1,-31.002214,152.911229,34,1,0,0,3,0,0,0,1,0,7,100,0,2585,4009,8,5,40,1,0,0,0,0
1246704,3,2020,2020,9,1,9,104,27,443,702,0,1,2,-33.9156,151.062864,15,0,2,0,3,0,0,0,0,0,7,60,2,14295,14295,3,5,5,2,0,0,0,0
1246705,3,2020,2020,9,1,8,3,31,58,43,0,1,10,-28.540207,153.548135,10,2,1,1,3,0,0,0,2,0,0,50,1,9859,9859,8,0,40,1,0,0,0,0
1246706,3,2020,2020,9,4,9,2261,17,443,2252,0,1,9,-33.889561,151.060139,15,0,2,1,3,0,0,3,2,2,7,70,2,83,83,1,5,35,2,0,0,0,0
1246707,3,2020,2020,9,4,2,2261,17,47,2252,0,1,2,-35.672095,147.399747,27,1,0,1,3,0,3,4,1,0,7,110,2,4026,4026,8,5,40,1,0,0,0,0
1246709,3,2020,2020,9,2,2,24,27,5,103,1,0,1,-28.709689,153.232368,39,2,1,0,3,0,0,0,1,0,7,80,1,4552,5151,8,0,40,1,0,0,0,0
1246710,3,2020,2020,10,4,6,3371,17,108,3342,0,1,7,-33.303418,151.420583,16,2,2,1,3,0,0,0,2,0,0,60,2,1109,397,1,5,5,2,0,0,0,0
1246713,3,2020,2020,9,0,8,196,10,32,168,0,1,9,-33.927048,150.979513,15,0,2,1,3,0,0,0,2,2,7,60,2,5929,5929,1,30,25,2,0,0,0,0
1246714,3,2020,2020,9,2,11,11,31,39,34609,0,1,1,-35.308233,148.221114,66,2,1,1,3,0,0,0,0,0,7,50,0,9859,9859,1,0,13,2,0,0,0,0
